percentile,year,wealth_family
37,2001,53516.62
37,2004,54165.2
37,2007,60471.54
37,2010,33994.39
37,2013,30934.17
37,2016,38070
38,1963,19185.098426473516
38,1983,42039.48
38,1989,41235.51
38,1992,41222.34
38,1995,46197.13
38,1998,50608.2
38,2001,57174.71
38,2004,57293.78
38,2007,65207.82
38,2010,37691.71
38,2013,33356.23
38,2016,41360
39,1963,20643.364372780157
39,1983,44987.8
39,1989,44967.23
39,1992,44190.76
39,1995,49266.5
39,1998,54975.55
39,2001,62363.79
39,2004,60702.16
39,2007,69828.3
39,2010,40886.11
39,2013,36294.88
39,2016,45030
40,1963,22058.55917299336
40,1983,48921.3
40,1989,47971.26
40,1992,48014.47
40,1995,53056.23
40,1998,58870.76
40,2001,67336.09
40,2004,66769.83
40,2007,75172.55
40,2010,43881.55
40,2013,39367.57
40,2016,49100
41,1963,23849.088246306575
41,1983,51492.93
41,1989,51273.84
41,1992,51502.78
41,1995,57127.84
41,1998,62736.46
41,2001,70926.45
41,2004,71474.15
41,2007,80829.45
41,2010,47308.07
41,2013,42893.95
41,2016,53900
42,1963,25233.51794216731
42,1983,54419.52
42,1989,56460.93
42,1992,54840.14
42,1995,61121.15
42,1998,67133.32
42,2001,75329.72
42,2004,75582.01
42,2007,85924.71
42,2010,51353.57
42,2013,46399.71
42,2016,58500
43,1963,26636.396376779005
43,1983,58553.44
43,1989,60603.14
43,1992,57842.09
43,1995,64519.38
43,1998,72149.88
43,2001,79895.56
43,2004,80567.39
43,2007,90938.92
43,2010,55277.49
43,2013,51555.23
43,2016,63000
44,1963,28580.750971854523
44,1983,62098.18
44,1989,64334.86
44,1992,60927.9
44,1995,67995.91
44,1998,75838.52
44,2001,85084.65
44,2004,85514.63
44,2007,98894.48
44,2010,59101.93
44,2013,55494.05
44,2016,67000
45,1963,31201.937862684186
45,1983,65336.26
45,1989,67824.02
45,1992,63728.61
45,1995,71253.2
45,1998,79674.71
45,2001,92021.48
45,2004,90169.34
45,2007,105101.4
45,2010,63225.91
45,2013,60525.84
45,2016,71501
46,1963,33601.61600217613
46,1983,68349.77
46,1989,70772.07
46,1992,67585.86
46,1995,75544.05
46,1998,85871.63
46,2001,97210.56
46,2004,96273.9
46,2007,111632.6
46,2010,67292.41
46,2013,64330.62
46,2016,76960
47,1963,34770.68996756964
47,1983,72234.98
47,1989,75753.92
47,1992,71744.99
47,1995,79083.23
47,1998,90622.6
47,2001,101546.1
47,2004,102251.3
47,2007,117654.3
47,2010,71074.85
47,2013,69527.38
47,2016,81750
48,1963,36831.94163532399
48,1983,75842.51
48,1989,80773.09
48,1992,75469.77
48,1995,82215.23
48,1998,95949.01
48,2001,105136.4
48,2004,107211.2
48,2007,124023.4
48,2010,74830.76
48,2013,73620.88
48,2016,87000
49,1963,38191.759247702765
49,1983,79648.03
49,1989,83963.7
49,1992,79140.87
49,1995,85942.32
49,1998,101068.8
49,2001,110826.8
49,2004,112298.4
49,2007,131376.8
49,2010,80014.75
49,2013,79343.5
49,2016,92000
50,1963,41028.301868999646
50,1983,82746.05
50,1989,87807.38
50,1992,83350.3
50,1995,90515.05
50,1998,105790.3
50,2001,117519.8
50,2004,118402.9
50,2007,140119.8
50,2010,85110.31
50,2013,83931.92
50,2016,97300
51,1963,42461.95573182432
51,1983,86413.95
51,1989,93516.91
51,1992,87542.98
51,1995,94414.41
51,1998,111397
51,2001,124646.3
51,2004,125397.7
51,2007,148689.1
51,2010,90581.7
51,2013,89087.45
51,2016,102400
52,1963,44049.435116411296
52,1983,90144.62
52,1989,98834.61
52,1992,92222
52,1995,99347.32
52,1998,116930
52,2001,131190.2
52,2004,132189
52,2007,155174
52,2010,97047.87
52,2013,93418.08
52,2016,107180
53,1963,46153.76825411962
53,1983,94698.7
53,1989,102808.9
53,1992,95878.01
53,1995,103544.2
53,1998,123333.5
53,2001,136704.5
53,2004,139515.8
53,2007,163326.4
53,2010,102464
53,2013,100635.8
53,2016,113000
54,1963,47501.2798247574
54,1983,98303.8
54,1989,108854.3
54,1992,99416.63
54,1995,107099
54,1998,128512.4
54,2001,141852.9
54,2004,148925.7
54,2007,170181.9
54,2010,108863.8
54,2013,107544.2
54,2016,119800
55,1963,49464.08315858388
55,1983,102758.9
55,1989,113257.7
55,1992,104280.1
55,1995,111029.7
55,1998,133455.1
55,2001,149304.6
55,2004,158209.7
55,2007,180187.1
55,2010,115142.1
55,2013,114586.7
55,2016,126800
56,1963,51076.17462665283
56,1983,107163.2
56,1989,119079.2
56,1992,109915.1
56,1995,115257.9
56,1998,138693
56,2001,156688.5
56,2004,166539.9
56,2007,189011.2
56,2010,121962
56,2013,119917.5
56,2016,136050
57,1963,53888.10516446774
57,1983,111673.9
57,1989,126878.5
57,1992,115382.3
57,1995,120582.3
